REFERENCE,PLACENAME,DESIGNATION,STATUS,GAZETTE DATE,GEOGRAPHICAL NAME,PREVIOUS NAMES,GNB FILE,LGA,APPROX. AGD66 LAT,APPROX. AGD66 LONG,APPROX. GDA94 LAT,APPROX. GDA94 LONG,AGD66 TOPO MAP,1:100000 MAP NAME,1:100000 MAP NO,PARISH,COUNTY,DESCRIPTION,MEANING,ORIGIN,HISTORY
3108,The Basin,BAY,ASSIGNED,21st January 1977,"",Yachtmans Paradise,"",PITTWATER,-33  36  30, 151  17  00,-33  36  24, 151  17  04,BROKEN BAY,SYDNEY,9130,BROKEN BAY,CUMBERLAND,"The innermost bay of Coasters Retreat, about 3 km S of Commodore Hts.           ",   ,    ,  
3111,The Basin,BAY,VARIANT,"",Bongin Bongin Bay,"","","",-33  40  00, 151  19  00,-33  39  54, 151  19  04,"",SYDNEY,9130,"","",           ,   ,    ,  
3112,The Basin,BAY,VARIANT,"",Collaroy Basin,"","","",-33  44  00, 151  18  00,-33  43  54, 151  18  04,"",SYDNEY,9130,"","",           ,   ,    ,  
26901,The Caves,BAY,VARIANT,"",Caves Bay,"","","",-33  32  00, 151  24  30,-33  31  54, 151  24  34,"",SYDNEY,9130,"","",           ,   ,    ,  
27624,The Creel,BAY,VARIANT,"",Creel Bay,"","","",-36  21  00, 148  36  00,-36  20  54, 148  36  04,KALKITE MOUNTAIN,BERRIDALE,8625,"","",           ,   ,    ,  
30014,The Hole,BAY,VARIANT,"",Mannering Bay,"","","",-33  10  00, 151  31  00,-33  09  54, 151  31  04,"",GOSFORD,9131,"","",           ,   ,    ,  
35039,Maceys Bay,BAY,ASSIGNED,2nd January 1976,"","","",YASS VALLEY,-34  59  30, 148  41  00,-34  59  24, 148  41  04,YASS,YASS,8628,NARRANGULLEN,COWLEY,A bay about 5km SW by S of Bluebell Hill locality and about 7km ESE of Barren Jack Trig Station.  It is situated on Lake Burrinjuck.         ,   ,    ,  
35092,Mackenzies Bay,BAY,ASSIGNED,11th March 1977,"",Grama Grama Bay,"",WAVERLEY,-33  54  00, 151  16  00,-33  53  54, 151  16  04,BOTANY BAY,SYDNEY,9130,ALEXANDRIA,CUMBERLAND,A bay about 1 km SW by W of Ben Buckler and about 1 km SW by S of Bondi Bay.          ,   ,    ,  
35369,Mcgraths Bay,BAY,ASSIGNED,3rd December 1976,"","","",GREAT LAKES,-32  25  00, 152  20  00,-32  24  54, 152  20  04,MYALL LAKE,BULAHDELAH,9333,EURUNDEREE,GLOUCESTER,A bay about 2 km W by N of Johnsons Island and about 3 km ENE of Toms Hill.          ,   ,    ,  
35749,Maitland Bay,BAY,ASSIGNED,21st January 1977,"","","",GOSFORD,-33  32  00, 151  23  30,-33  31  54, 151  23  34,BROKEN BAY,SYDNEY,9130,KINCUMBER,NORTHUMBERLAND,A bay on the coast about 1 km NNW of Maitland Bumbora and about 2 km W of Bombi Point.          ,   ,    ,  
