REFERENCE,PLACENAME,DESIGNATION,STATUS,GAZETTE DATE,GEOGRAPHICAL NAME,PREVIOUS NAMES,GNB FILE,LGA,APPROX. AGD66 LAT,APPROX. AGD66 LONG,APPROX. GDA94 LAT,APPROX. GDA94 LONG,AGD66 TOPO MAP,1:100000 MAP NAME,1:100000 MAP NO,PARISH,COUNTY,DESCRIPTION,MEANING,ORIGIN,HISTORY
23755,Opal Cove Beach,BEACH,ASSIGNED,18th June 2004,"",Hills Beach,"",COFFS HARBOUR,-30  15  00, 153  08  00,-30  14  54, 153  08  04,COFFS HARBOUR,COFFS HARBOUR,9537,COFF,FITZROY,A coastal beach about 5.5 km North East of Town of Coffs Harbour.           ,   ,    ,  
35064,Mackarel Beach,BEACH,VARIANT,"",Great Mackerel Beach,"","","",-33  35  30, 151  18  00,-33  35  24, 151  18  04,"",SYDNEY,9130,"","",           ,   ,    ,  
35087,Mckenzies Beach,BEACH,ASSIGNED,10th December 1982,"","","",EUROBODALLA,-35  48  00, 150  13  00,-35  47  54, 150  13  04,MOGO,BATEMANS BAY,8926,BATEMAN,ST VINCENT,A beach about 2 km S of Malua Bay and about 5 km NE by E of Tomakin.           ,   ,    ,  
35160,MacMasters Beach,BEACH,ASSIGNED,29th August 1975,"",McMasters Beach,GNB589,GOSFORD,-33  29  00, 151  26  00,-33  28  54, 151  26  04,GOSFORD,GOSFORD,9131,KINCUMBER,NORTHUMBERLAND,The stretch of sand in Allagai Bay on the Tasman Sea between Tudibaring Head and Second Point. (spelling:  MacMasters Beach).         ,   ,Derives from the name of two families each named MacMaster. Allan MacMaster bought 600 acres in 1838. (C. Swancott 'The Brisbane Water Story')  ,  
35237,Mcbrides Beach,BEACH,ASSIGNED,9th July 1982,"",Lobster Pot Beach,"",GREAT LAKES,-32  12  00, 152  33  00,-32  11  54, 152  33  04,FORSTER,FORSTER,9433,FORSTER,GLOUCESTER,A beach which lies W of Latitude Rock and about 2 km ESE of Burgess Beach.          ,   ,    ,  
35477,Mckittricks Beach,BEACH,VARIANT,"",Convent Beach,"","","",-29  26  30, 153  22  00,-29  26  24, 153  22  04,"",WOODBURN,9539,"","",           ,   ,    ,  
35490,Mcleans Beach,BEACH,ASSIGNED,13th January 1978,"","","",DENILIQUIN,-35  31  00, 144  57  00,-35  30  54, 144  57  04,DENILIQUIN,MATHOURA,7826,SOUTH DENILIQUIN,TOWNSEND,A beach on the southern bank of Edward River. It is about 2 km N by E of Deniliquin Railway Station.          ,   ,    ,  
35529,Mcmasters Beach,BEACH,VARIANT,"",Macmasters Beach,"","","",-33  29  00, 151  26  00,-33  28  54, 151  26  04,"",GOSFORD,9131,"","",           ,   ,    ,  
35821,Malabar Beach,BEACH,ASSIGNED,10th June 1977,"","","",RANDWICK,-33  58  00, 151  15  00,-33  57  54, 151  15  04,BOTANY BAY,SYDNEY,9130,BOTANY,CUMBERLAND,A beach at Long Bay about 1 km W by N of Boona Point and about 2 km N of Little Bay.          ,   ,    ,  
36089,Manly Beach,BEACH,ASSIGNED,16th July 1976,"",Cabbage Tree Beach; South Steyne Beach (Nr),"",MANLY,-33  48  00, 151  17  00,-33  47  54, 151  17  04,SYDNEY HEADS,SYDNEY,9130,MANLY COVE,CUMBERLAND,A beach S of North Steyne Beach about 2km NE of Dobroyd Head and being the southern end of Cabbage Tree Beach.          ,   ,    ,  
36203,Manyana Beach,BEACH,ASSIGNED,12th July 1974,"","",GNB916,SHOALHAVEN,-35  16  00, 150  31  00,-35  15  54, 150  31  04,CUNJURONG POINT,ULLADULLA,8927,CONJOLA,ST VINCENT,"A coastal Beach at Cunjurong, between Inyadda Point and Cunjurong Point, about 12 km NNE of Ulladulla.          ",   ,    ,  
36363,Markeys Beach,BEACH,ASSIGNED,27th April 1984,"","","",LEETON,-34  43  00, 146  27  00,-34  42  54, 146  27  04,GOGELDRIE WEIR,YANCO,8128,CUDGEL,COOPER,A beach on the Murrumbidgee River about 9 km S by W of Roach.           ,   ,    ,  
36385,Marley Beach,BEACH,ASSIGNED,4th May 1973,"","","",SUTHERLAND SHIRE,-34  07  00, 151  08  00,-34  06  54, 151  08  04,PORT HACKING,PORT HACKING,9129,WATTAMOLLA,CUMBERLAND,"A beach between Marley Head & Little Marley Beach, about 3.5 km S by W of Bundeena.          ",   ,    ,  
36438,Maroubra Beach,BEACH,ASSIGNED,10th June 1977,"","","",RANDWICK,-33  57  00, 151  15  00,-33  56  54, 151  15  04,BOTANY BAY,SYDNEY,9130,BOTANY,CUMBERLAND,A beach about 1 km long. It is about 1 km NW by N of Magic Point and about 1 km SW of Mistral Point.          ,   ,    ,  
